company_id,name,sector,hq_city,company_size,contact_email,contact_phone,active_postings,verified
CMP0056,Meghna Group of Industries,Conglomerate,Dhaka,501-1000,careers@meghnagroupofindustries.com.bd,01736289696,3,True
CMP0057,Abul Khair Group,Conglomerate,Chattogram,201-500,careers@abulkhairgroup.com.bd,01546553585,5,True
CMP0058,KDS Group,Textiles & Manufacturing,Chattogram,11-50,careers@kdsgroup.com.bd,01938921878,5,True
CMP0059,Envoy Textiles,Textiles / RMG,Dhaka,201-500,careers@envoytextiles.com.bd,01735837490,0,True
CMP0060,DBL Group,Textiles / RMG,Dhaka,501-1000,careers@dblgroup.com.bd,01761208780,4,True
CMP0061,Ha-Meem Group,Textiles / RMG,Dhaka,201-500,careers@hameemgroup.com.bd,01415149409,3,True
CMP0062,Epyllion Group,Textiles / RMG,Dhaka,501-1000,careers@epylliongroup.com.bd,01463748453,3,True
CMP0063,Viyellatex Group,Textiles / RMG,Gazipur,1000+,careers@viyellatexgroup.com.bd,01628950905,6,True
CMP0064,Standard Group,Textiles / RMG,Dhaka,1000+,careers@standardgroup.com.bd,01391862339,0,True
CMP0065,Renata Limited,Pharmaceuticals,Dhaka,51-200,careers@renatalimited.com.bd,01871511696,6,True
CMP0066,Incepta Pharmaceuticals,Pharmaceuticals,Dhaka,501-1000,careers@inceptapharmaceuticals.com.bd,01452145264,3,True
CMP0067,Eskayef Pharmaceuticals,Pharmaceuticals,Dhaka,501-1000,careers@eskayefpharmaceuticals.com.bd,01633515718,0,True
CMP0068,Opsonin Pharma,Pharmaceuticals,Dhaka,201-500,careers@opsoninpharma.com.bd,01380512080,0,True
CMP0069,Popular Pharmaceuticals,Pharmaceuticals,Dhaka,11-50,careers@popularpharmaceuticals.com.bd,01399512397,2,True
CMP0070,Radiant Pharmaceuticals,Pharmaceuticals,Dhaka,51-200,careers@radiantpharmaceuticals.com.bd,01512959272,4,True
CMP0071,Delta Life Insurance,Insurance,Dhaka,1000+,careers@deltalifeinsurance.com.bd,01609081441,1,True
CMP0072,Pragati Insurance,Insurance,Dhaka,201-500,careers@pragatiinsurance.com.bd,01721739295,5,True
CMP0073,LankaBangla Finance,Financial Services,Dhaka,501-1000,careers@lankabanglafinance.com.bd,01671815352,5,True
CMP0074,UCB Fintech (upay),Fintech,Dhaka,51-200,careers@ucbfintech.com.bd,01960507918,6,True
CMP0075,Cellbazaar,Online Marketplace,Dhaka,11-50,careers@cellbazaar.com.bd,01799886834,5,True
CMP0076,Sheba.xyz,Services Marketplace,Dhaka,201-500,careers@shebaxyz.com.bd,01446666170,1,True
CMP0077,10 Minute School,EdTech,Dhaka,501-1000,careers@10minuteschool.com.bd,01696474080,0,True
CMP0078,Shikho,EdTech,Dhaka,51-200,careers@shikho.com.bd,01798250800,0,True
CMP0079,Bohubrihi,EdTech,Dhaka,201-500,careers@bohubrihi.com.bd,01706882850,3,True
CMP0080,Programming Hero,EdTech,Dhaka,51-200,careers@programminghero.com.bd,01435137399,0,True
CMP0081,Khan Academy Bangla (local partner),EdTech,Dhaka,11-50,careers@khanacademybangla.com.bd,01414035263,0,False
CMP0082,Newscred Bangladesh,Content Technology,Dhaka,201-500,careers@newscredbangladesh.com.bd,01429394694,6,True
CMP0083,Portonics,Consumer Electronics,Dhaka,51-200,careers@portonics.com.bd,01560666437,5,True
CMP0084,Symphony Mobile,Consumer Electronics,Dhaka,201-500,careers@symphonymobile.com.bd,01860723111,4,True
CMP0085,Fair Group (Fair Electronics),Electronics Manufacturing,Dhaka,51-200,careers@fairgroup.com.bd,01485246484,6,True
CMP0086,Minister Hi-Tech Park,Electronics Manufacturing,Gazipur,201-500,careers@ministerhitechpark.com.bd,01316318732,6,True
CMP0087,Navana Group,Automotive & Real Estate,Dhaka,1000+,careers@navanagroup.com.bd,01313062113,0,True
CMP0088,Rangs Group,Automotive & Conglomerate,Dhaka,501-1000,careers@rangsgroup.com.bd,01827908335,4,True
CMP0089,Aftab Automobiles,Automotive,Dhaka,11-50,careers@aftabautomobiles.com.bd,01454257306,4,True
CMP0090,Runner Automobiles,Automotive,Dhaka,501-1000,careers@runnerautomobiles.com.bd,01713235707,1,False
CMP0091,Bashundhara Group,Conglomerate / Real Estate,Dhaka,11-50,careers@bashundharagroup.com.bd,01748228501,6,True
CMP0092,Concord Group,Real Estate,Dhaka,11-50,careers@concordgroup.com.bd,01392550213,3,True
CMP0093,Sheltech,Real Estate,Dhaka,11-50,careers@sheltech.com.bd,01369130981,3,True
CMP0094,Building Technology & Ideas (BTI),Real Estate,Dhaka,11-50,careers@buildingtechnology&ideas.com.bd,01696496737,5,True
CMP0095,GMG Airlines,Aviation,Dhaka,1000+,careers@gmgairlines.com.bd,01877278532,2,True
CMP0096,US-Bangla Airlines,Aviation,Dhaka,201-500,careers@usbanglaairlines.com.bd,01642506420,5,True
CMP0097,Biman Bangladesh Airlines,Aviation,Dhaka,501-1000,careers@bimanbangladeshairlines.com.bd,01736253666,3,True
CMP0098,DHL Bangladesh,Logistics,Dhaka,501-1000,careers@dhlbangladesh.com.bd,01675556283,5,True
CMP0099,FedEx Bangladesh (agent),Logistics,Dhaka,51-200,careers@fedexbangladesh.com.bd,01739578654,1,True
CMP0100,PwC Bangladesh,Consulting / Audit,Dhaka,51-200,careers@pwcbangladesh.com.bd,01387496033,3,True
CMP0101,KPMG Bangladesh,Consulting / Audit,Dhaka,201-500,careers@kpmgbangladesh.com.bd,01868627036,4,False
CMP0102,Deloitte Bangladesh,Consulting / Audit,Dhaka,1000+,careers@deloittebangladesh.com.bd,01892693265,5,True
CMP0103,EY Bangladesh,Consulting / Audit,Dhaka,501-1000,careers@eybangladesh.com.bd,01475998011,1,True
CMP0104,A.K.M Group,Manufacturing,Dhaka,11-50,careers@akmgroup.com.bd,01905155323,0,True
CMP0105,Partex Group,Conglomerate,Dhaka,201-500,careers@partexgroup.com.bd,01759775244,6,True
CMP0106,TK Group of Industries,Conglomerate,Chattogram,11-50,careers@tkgroupofindustries.com.bd,01426189628,6,True
CMP0107,Confidence Group,Cement & Infrastructure,Chattogram,1000+,careers@confidencegroup.com.bd,01531271026,5,True
CMP0108,Crown Cement (Confidence),Manufacturing,Dhaka,501-1000,careers@crowncement.com.bd,01909579927,3,True
CMP0109,Fu-Wang Group,Real Estate & Food,Dhaka,11-50,careers@fuwanggroup.com.bd,01755151229,3,False
CMP0110,Index Group,Manufacturing,Dhaka,201-500,careers@indexgroup.com.bd,01413541597,5,True
